Name,SectionId,SectionName,TimeseriesCode,Date,Value,UpDown,FormatNumber,FormatDate
Interest charged,CPDMMS,CPD Interest Rates,MMSW018A,2024-06-14,8.37,1,0.00,yyyy-MM-dd
Interest earned,CPDMMS,CPD Interest Rates,MMSW019A,2023-05-26,8.25,1,0.00,yyyy-MM-dd
